text,positive
"So lecker!",1
"Gefällt mir!",1
"Cremig und lecker",1
"Schön cremig!",1
"Himmlisch",1
"Super Sojadrink",1
"Gute Zusammensetzung, milder Geschmack",1
"für mich der beste Soja-Drink",1
"Gesund & Lecker",1
"lecker",1
"Tolle Kombination",1
"Leckere Slices, angenehme Konsistenz",1
"Köstlich",1
"Schön cremig!",1
"Rrovamel Mandel Drink",1
"Mandel Drink",1
"Mandel",1
"Spitze",1
"Tolle Alternative",1
"Super lecker",1
"Lecker als Vrikasse",1
"Fleisch ade",1
"Sehr gut !",1
"Lecker Schoki",1
"wahnsinn",1
"Lecker",1
"Gute Idee",1
"Ein Superding,",1
"Wir lieben Jacky!",1
"JackyF super",1
"sehr guter Geschmack",1
"Die beste Currywurst ever !!!",1
"BESTE vegane Curry-Wurst ever ...",1
"Gewohnte Hobelz Qualität",1
"Recht authentische Alternative",1
"nicht schlecht",1
"Sehr zu empfehlen",1
"Sehr lecker!",1
"Super lecker!",1
"Für die Glutenfreie Küche",1
"Tolles Getränk - Top Service",1
"kaufen :)",1
"Lanjährig gute Erfahrungen",1
"Würzmittel",1
"passt einfach immer",1
"Fein",1
"sehr leckerer Riegel",1
"Sau Lecker",1
"sehr gut",1
"Mega lecker",1
"Begeistert - noch besser als normale Schockolade",1
"Geschmacklich super",1
"Nicht wie Schinken, aber sehr lecker",1
"immer wieder gerne",1
"Sehr lecker",1
"Das Beste!",1
"Mandelmus",1
"Super",1
"Super Ersatz",1
"... wir liebe es",1
"Super authentisch",1
"Zu Salat und Pasta...",1
"Wintertime",1
"Super",1
"Leckere...",1
"Perfekt für Schaschlikspieße!",1
"Total lecker!!",1
"Super",1
"Granovita Mandelmus",1
"sehr zufrieden",1
"wunderbar :)",1
"Guter Kaffee-Ersatz",1
"Bester Kaffee-Ersatz",1
"Lupinenkaffee",1
"sehr zu empfehlen",1
"Hammer",1
"leckere vegane Schokolade",1
"Lecker Solide Schoki",1
"Sünde pur",1
"Wenn sich unverhofft Besuch ankündigt!",1
"Mhhhhhhh....",1
"Lecker & glutenfrei",1
"Wunderbar cremig",1
"Herrlich fruchtig",1
"Zwergenwiese",1
"Leeeccckkkkerr",1
"Klarer Sieger vor Malzkaffee und Co.",1
"Klasse Kaffee Ersatz",1
"Hervorrragend",1
"gute Alternative",1
"Gute Bohne",1
"sehr lecker",1
"perfekt",1
"Mein Lieblingskakao",1
"Beste Qualität",1
"Toller Kakao in bester Qualität",1
"super schokoladig",1
"Heller Kakao",1
"Cenovis Gemüsebrühe natriumarm",1
"Sehr leckerer Keks",1
"Frühstücksreif",1
"Allos Frucht Pur 75% Mango Marmelade",1
"guter Ersatz",1
"tolle Kaffee Alternative",1
"Kaffeegenuss",1
"Wenns mal schnell gehen muss",1
"Richtig lecker :-)",1
"Bester Aufstrich fürs Frühstücksbrötchen",1
"Total lecker",1
"Super für Gulasch",1
"Super",1
"Sehr gute Qualität",1
"tolles Mehl",1
"Bauckhof Apfel-Bananenmark",1
"Lecker",1
"Allos Frucht Pur",1
"Einfach lecker",1
"viele bunte Schokolinsen",1
"Endlich vegane Schokolinsen",1
"Sind okay",1
"Daumen hoch",1
"Toll",1
"sehr gutes Produkt",1
"Super Alternative zu Haferflocken",1
"Leinsaat,geschrotet",1
"Eben Bauckhof-Demeter",1
"Bauckhof Apfelmus",1
"Sehr gut",1
"Lecker und klappt ...",1
"sehr lecker",1
"Himmlisch lecker",1
"Geschmacklich super",1
"Wie der Riegel",1
"Schmeckt wie Erfrischungsstäbchen",1
"Hmmmmm",1
"Supermix",1
"Lecker",1
"Kokoswasser",1
"Sehr gutes Produkt ...etwas günstiger wäre noch besser :-)",1
"violife ist lecker!",1
"Wirklich sehr gut",1
"Superlecker",1
"Unglaublich lecker!",1
"Genau so Cola-lecker wie die unvegane Variante",1
"lecker",1
"Leggaaaaa :-)",1
"lecker",1
"Das absolute Frischeerlebnis",1
"Lecker",1
"Genial lecker",1
"macht herkömmliche Sahne überflüssig",1
"Überzeugend!",1
"Schmeckt und sprüht",1
"Feine Sache!",1
"Sehr gut!",1
"TOP Fleischersatz",1
"Nicht wirklich pulled aber trotzdem lecker",1
"Phantastisches Produkt für gute Köche und Fleischvermisser",1
"Geil, Geiler, Pulled Soja",1
"Lieblingsmargarine",1
"Eine gute Magerine !",1
"Gute Margarine",1
"Super Butterersatz",1
"Geschmackvoll",1
"Favorit!",1
"genialster Kakao Haferdrink",1
"Sehr lecker",1
"Beste Margarine, die ich kenne.",1
"guter Geschmack",1
"Beste Alternative",1
"Zum backen...",1
"Leggaaaaa :-)",1
"Sehr sehr lecker",1
"1A",1
"Lieblingsaufstrich!:)",1
"Himmlisch",1
"Sehr gut",1
"Ich bin Fan",1
"Kleben nicht",1
"Sehr lecker...",1
"sehr zu empfehlen",1
"Solider Eiweißriegel",1
"lecker",1
"Veganz Protein Choc Bar Chocolate Brownie Style",1
"Veganer Ersatz, sehr gut!",1
"Statt Sojacuisine",1
"EcoMil Cuisine...",1
"Auch als vegane Alternative lecker",1
"Gutes gelingen",1
"Lecker, lecker, lecker",1
"Alles Frucht Pur",1
"Dinkelkekse",1
"Lecker",1
"Fantastisch!",1
"Total lecker",1
"verpackung",1
"Super fruchtig!",1
"Sehr gut",1
"Sehr gut",1
"Schmeckt auch ohne Zusatzstoffe.",1
"Schmeckt auch ohne Zusatzstoffe.",1
"Götlich",1
"Leggaaaaa :-)",1
"Mega lecker!",1
"Leggaaaaa :-)",1
"Nostalgie",1
"Man merkt keinen Unterschied",1
"Top!",1
"Bin begeistert",1
"praktisch",1
"praktisch",1
"Klasse!",1
"Ein Muss in meiner Küche",1
"Ohne geht nicht! ;)",1
"Veganer Cheezeersatz, prima!",1
"hervorragend",1
"nicht mehr wegzudenken",1
"Gute Alternative",1
"Zwergenwiese FruchtGarten Bitterorange",1
"Super vielseitig und schnell geliefert!",1
"Vitam R",1
"Schön schnittfest.",1
"Sehr lecker",1
"so genial",1
"Suuuper lecker!",1
"Sehr gut",1
"Superlecker!",1
"Superlecker",1
"Vanille pur",1
"Meerretich",1
"Number One die zweite",1
"Lecker",1
"Superlecker!",1
"Die Beste",1
"Leckere Bio-Bratwürste",1
"Einfach Klasse",1
"Beste Wurst für Currywurst",1
"Super schoki",1
"lecker!",1
"Feiner Geschmack",1
"aromatischer Aufstrich",1
"Sehr empfehlenswert",1
"Sehr lecker …",1
"Super Vanille-Geschmack",1
"Mmmmh!",1
"Super",1
"Leckere Kekse",1
"Schmeckt echt gut :-)",1
"Sehr lecker",1
"Für Grünkern-Liebhaber...",1
"Lieblingsaufstrich",1
"Super lecker",1
"Lecker",1
"wirklich ein tolles Öl",1
"Super lecker",1
"Geschmacklich eine leckere Alternative.",1
"Blumenbrot Kastanien Schnitten",1
"Suchtgefahr",1
"Sensationell!",1
"Sprühsahne wie früher",1
"Schmeckt wie herkömmliche Sprühcreme",1
"Sehr lecker :)",1
"Absoluter Lieblingscafe",1
"Das sind die leckersten glutenfreien Nudeln ...",1
"gut",1
"Tolle Reisflocken - sehr zu empfehlen",1
"Echt gut!",1
"Tolle Creme",1
"Leckere Sprühcreme, etwas zu süß",1
"schmeckt sehr lecker",1
"Beste vegane [Alternative]",1
"Super Lecker",1
"super lecker!",1
"Schoko Weizen Teig Schokoladen Splitter Cookies",1
"Gemüse pur",1
"Mega lecker!!!",1
"Sehr lecker!",1
"Super Lecker",1
"würzige Gaumenfreude",1
"Super Produkt",1
"Lecker!!!",1
"Sehr zufrieden",1
"Bester Pflanzendrink",1
"gute Alternative",1
"Gut gewürzt, aber nicht zu scharf !",1
"Mmmm  - macht süchtig!",1
"Scharf",1
"Tolles Produkt",1
"würziger Cheeze-Ersatz",1
"Schmeckt gut :-)",1
"Ein sehr guter Cheeze-Ersatz",1
"bin begeistert",1
"Baustein für eigene Zahncreme",1
"Wenn der Kuchen besonders locker werden soll",1
"Gute Alternative",1
"Empfehlenswert",1
"TOP Fleischersatz",1
"Leckerster Ersatz für Butter",1
"Für mich die beste Alernative zu Pflanzendrink...",1
"Sehr praktisch",1
"bin begeistert",1
"Gut!",1
"lecker",1
"köstlich",1
"ok",1
"Schmeckt gut aber etwas Günstiger wäre noch besser",1
"sehr geschmacksintensiv",1
"* Schmeckt *",1
"Gut zum Verfeinern",1
"Perfekt zum Kochen",1
"Sehr gut",1
"Lecker!",1
"Super. Wie Sahne.",1
"superlecker - besser als Sahne",1
"Sehr lecker",1
"top",1
"Lecker",1
"lecker auch ohne Zucker",1
"tomatig",1
"Lecker und ohne Zucker",1
"Jahre her",1
"Lecker, aber...",1
"Auch für Erwachsene",1
"Ein Zugewinn",1
"Reine Reismehlnudeln",1
"Sehr lecker :)",1
"Knusprig",1
"Lecker",1
"schnell aufgegessen",1
"Sehr süß, cremig, aber etwas krümelig",1
"Tolle Qualität",1
"Zum reinlegen",1
"Lieblingsblumenbrot",1
"Super Geschmack",1
"Blumenbrot",1
"Gute Mischung",1
"Dinkelbrötchen",1
"Grapefruit rot",1
"Mir persönlich leider zu bitter",1
"Blumenkohl",1
"Frisch und lecker",1
"Ein bisschen wie flüssiges Marzipan",1
"sehr lecker",1
"Dinkeldrink m. Mandel",1
"Dinkel-Mandeldrink",1
"Lauch",1
"Ich liebe Yogi  Tea",1
"Äpfel",1
"Geht einfach immer",1
"top",1
"Zwergenwiese",1
"Mega",1
"Super Produkt",1
"verblüffend echt",1
"Lecker",1
"Fast wie Ente",1
"Beste glutenfreie Mehlmischung",1
"Really worthwhile",1
"Echte Zwiebeln mit wertvollen Inhaltsstoffen",1
"guter Zustand",1
"Ganz gut",1
"Meha lecker",1
"Sehr schmackhafte glutenfreie Cornflakes",1
"mhhh",1
"leckere schokolade",1
"sehr nussig",1
"leckeres Brot leicht selbst gemacht",1
"5 Sterne Deluxe",1
"sehr feineleckere Samen",1
"kaufabwicklung Lieferung und Qualität super",1
"viel zu lecker :-)",1
"sehr milder, angenehm weicher Geschmack",1
"Bunter Vitaminkorb",1
"Obst",1
"Empfehlung !!!",1
"Gute Qualität",1
"Alles bestens !",1
"Fruchtig und schmackhaft 👌",1
"Schmeckt echt gut",1
"sehr zitrionig",1
"Großverpackung = Müllvermeidung",1
"Lecker, lecker und nochmals lecker.",1
"Lecker",1
"Bauckhof überzeugt.",1
"Sehr Krümmelig u. ein Hauch Erdbeere aber Lecker :-) für 0,99 wäre noch besser",1
"Großverpackung = Müllvermeidung",1
"Die besten Riegel der Welt!",1
"sehr sehr lecker!",1
"Nicht schlecht!",1
"Sehr gut!",1
"Abwechslung",1
"super lecker",1
"Allos Frucht Pur",1
"Sehr sommerlich",1
"lecker",1
"Mal was anderes",1
"Super Kombination",1
"Erleichterung",1
"Schmeckt gut :-) für 0,99 wäre noch besser",1
"Super Geschmack!",1
"Wirklich köstlich!",1
"Empfehlung",1
"Cremig und lecker",1
"Leggaaaaa :-)",1
"lecker",1
"Sooooo lecker!!",1
"Lecker!",1
"Ohne Sahne gehts nicht:)",1
"Sehr gut!!",1
"Universal einsetzbar!",1
"als kleiner vorrat perfekt!",1
"Lecker",1
"Super",1
"Lecker.",1
"Kleiner küchenhelfer",1
"Universal einsetzbar",1
"mild-sauer",1
"leckere Süßigkeit",1
"Toll.",1
"Number One die erste",1
"mmmhhh",1
"Sehr gut",1
"Aufs Wurstbrot",1
"Roh. Spicy. Lecker!",1
"Toller Geschmack",1
"Leckere Variante",1
"Toller Filetersatz",1
"ok",1
"Lecker und leicht",1
"Empfehlenswerter Fleischersatz",1
"Saftige Alternative",1
"Leckere interessante Schoki",1
"lecker",1
"Lecker",1
"Für den kleinen Hunger",1
"Megalecker",1
"glutenfrei und lecker",1
"gute Sauce",1
"sehr guter Geschmack",1
"Nicht wie Leberwurst, aber gut",1
"Perfekt für kleine Hände:)",1
"Mayo aus der Tube - praktisch für unterwegs",1
"Gute Mayo",1
"Mein Favorit...",1
"Der Riegel",1
"Sehr lecker",1
"Beste Nougat-Schoki ever",1
"Verführerisch lecker",1
"Liebster Kakao",1
"wirklich Gut !",1
"Lecker!",1
"Toll !!!",1
"würzig",1
"Favoriten!",1
"Leggaaaaa :-)",1
"Lecker aber etwas trocken",1
"Super lecker!",1
"Sehr sehr lecker",1
"Deftig",1
"Bekannt",1
"Sehr leckerer Haferdrink!",1
"sehr lecker",1
"Überrascht und doch wieder nicht",1
"Ein Muss",1
"Dunja",1
"Für Zwischendurch",1
"sehr lecker",1
"Lecker und Bio!",1
"Schmeckt echt gut",1
"Toller Artikel",1
"Die beste Alternative",1
"bester Ersatz für den Kaffee",1
"Holle",1
"Mein neues Kartoffelgewürz",1
"Andere Packung geliefert",1
"Sehr sättigend",1
"zur Favoritenliste hinzugefügt",1
"Zwar kein klassisches Pesto, aber auch extrem lecker auf Nudeln.",1
"bio-verde Frischer Bärlauch in Öl - Bio - 165g",1
"Leicht scharf",1
"Schmeckt gut",1
"Lecker!",1
"Günstig",1
"Top",1
"Sehr sehr lecker",1
"Nicht so gut wie Seitan",1
"Könnte würziger sein",1
"Sehr lecker",1
"Toll...!",1
"Sehr guter Geschmack",1
"Sehr Schmackhaft",1
"Gut",1
"Toll",1
"Kaufempfehlung!",1
"Total gut",1
"super lecker!",1
"immer wieder!",1
"ob warm oder kalt immer wieder ein Genuß",1
"Lecker",1
"Sonnenblumenkernmus",1
"Der Oberrhammer",1
"Absolut lecker",1
"Die beste Salami-Alternative",1
"Lecker",1
"ungewöhnlich und sehr lecker",1
"die allerbeste Salami",1
"Schmeckt wie echt!",1
"Sehr lecker...",1
"Hoher Tomatenmarkanteil",1
"Super lecker!",1
"Besonders praktisch, da gebrauchsfertig.",1
"Perfekt für Sandwiches!",1
"Lieblingsaufschnitt",1
"Gut",1
"schmeckt",1
"sehr lecker!",1
"Die bisher beste Schinkenalternative",1
"Tolles Produkt",1
"lecker!",1
"Zart und nussig, ein Gedicht!",1
"Zwergenwiese Mandel Schmelz",1
"muss jeder lakritzfan probiert haben",1
"Super lecker",1
"lecker & alternativprodukt bei Glutenintoleranz",1
"toller Würfelzucker",1
"Schmeckt echt gut :-) für 1,49 wäre noch besser",1
"Super Fixgericht",1
"Gut, nicht überteuert und meist auch gut verfügbar.",1
"Gut",1
"Genial!",1
"Super Qualität",1
"Frisch und gut",1
"Super Auswahl und tolle Qualität",1
"Duftend",1
"Döner für Alle!",1
"sehr guter Geschmack",1
"Sehr schmackhaft",1
"Einer meiner Topfavoriten",1
"Ist so lecker, dass wir großen Aufwand in Kauf nehmen",1
"Super lecker",1
"Sehr leckerer Aufstrich",1
"Sehr lecker",1
"sehr gut",1
"sehr mild und bekömmlich",1
"Sehr lecker",1
"Sehr leckeres Pesto",1
"sehr gut",1
"Schmeckt wirklich Mozzarella-ähnlich",1
"Erstaunlich!",1
"Bewertung",1
"Super lecker!",1
"toller Aufstrich mit Suchtpotential",1
"unglaublich lecker!!!",1
"Hervorragend",1
"Beste Adresse für leckeren Tofu",1
"Super Tofu",1
"Guter Natur Tofu",1
"Supi!",1
"Pudding... Ja!",1
"sehr sehr lecker!",1
"Gute Produkte",1
"Super lecker !",1
"Lieblingssahne",1
"gelingt immer!",1
"Wunderbar",1
"Lecker und süß",1
"süß und knackig",1
"Leckeres, lockeres Knusperbrot",1
"total gut",1
"lange darauf gewartet",1
"Sehr lecker!",1
"Kein Verzicht auf leckeres Aioli nötig!",1
"Fantastisch!",1
"Sehr lecker!",1
"Die beste vegane Mayo",1
"hat eine angenehme Schärfe",1
"Ungewohnt",1
"Top",1
"Gut",1
"Sehr lecker zu verschiedenen Anlässen",1
"5 Sterne für dieses Bioprodukt",1
"sehr gut.",1
"Zahnpasta, Schwangerschaft",1
"Empfehlenswert",1
"Must have",1
"oh ich bin begeistert",1
"Brownies",1
"Sehr lecker!",1
"meine Lieblingskekse",1
"Super",1
"guter veganer Schokoaufstrich",1
"Sooo lecker :)",1
"Lecker, aber...",1
"Suchtpotenzial!",1
"Lecker",1
"Lieblingstee, aber auch ein Wachmacher",1
"Süchtig machend",1
"Beste SchokoNussCreme, super Ersatz die braune Creme und dann noch wie ne DuoCreme aus meiner Kindheit.",1
"Ratzfatz weg",1
"Mega lecker, ein Muss für Schleckermäuler ;-)",1
"Super gut!",1
"Super!",1
"TOP Qualität , Super Geschmack",1
"Die beste unter den veganen Remouladen",1
"Sehr lecker",1
"Taifun FeTo Natur - Bio - 200g",1
"Meine Frau sagt: lecker!",1
"Mal was anderes",1
"Gute Basic-Würze",1
"Top",1
"Gut!",1
"Lecker",1
"Genial gut.",1
"Perfekt!",1
"Unbedingt zu empfehlen",1
"Gesucht - Gefunden",1
"Sieht gut aus und verspricht ein Geschmackserlebnis",1
"Tatsächlich wie Käse",1
"wirklich gut",1
"Abwechslung",1
"lecker",1
"Sehr lecker",1
"Sehr saftig",1
"Soto Energie Taler",1
"Sehr Sehr lecker!!!",1
"Himmlisch",1
"top",1
"super",1
"Zwergenwiese",1
"Immer wieder",1
"Besser als Frischkäse",1
"Leicht und lecker",1
"Schmeckt!",1
"Ohhh yes",1
"Leckerer Aufstrich",1
"Einfach super",1
"Sehr knusprig und lecker",1
"Wie chicken nuggets aber besser!",1
"Knusprig",1
"Gut :-)",1
"Die leckersten, die ich kenne",1
"Klasse Fisch",1
"Schmeckt wie echter Thunfisch.",1
"gar nicht so übel ......",1
"soo gut",1
"Fantastisch",1
"Bewertung",1
"Seeeeehr lecker!!! :)",1
"Nur ein Hauch Caramel aber Lecker :-) für 0,99 wäre noch besser",1
"So schlimm",1
"NOM...!",1
"kauf ich gerne",1
"Lecker",1
"Sehr cremig",1
"Leggaaaaa :-)",1
"Sehr lecker!!!",1
"Endlich!",1
"aus Neugier getestet",1
"Lecker lecker lecker",1
"Leckerer Snack",1
"schnell gemacht und gut!",1
"Sehr lecker :-)",1
"Tolles Gewürz",1
"Empfehlenswert",1
"Vom Original kaum zu unterscheiden",1
"Highlight",1
"Gute Fischstäbchenalternative",1
"Total lecker und knusprig",1
"Genuss pur",1
"Verspricht ein Geschmackserlebnis",1
"Tolles Topping",1
"besser als jeder vegane ***ersatz",1
"Echte 100%",1
"schön cremig",1
"top Produkt",1
"feines Konfekt",1
"sooooo sooooo lecker!!!",1
"Cheeze",1
"Superlecker",1
"lecker",1
"Lecker",1
"Perfekt",1
"Super lecker",1
"Leggaaaaa :-)",1
"Top",1
"=)",1
"Soooo lecker",1
"super gut",1
"Leckerer Ausfstrich",1
"super lecker",1
"meine Lieblingsgewürzmischung",1
"knackig süß und fruchtig",1
"grüne Nudeln",1
"Top",1
"Für mehr Abwechslung",1
"sehr lecker",1
"gute Qualität",1
"Tolles Produkt",1
"Sehr gut",1
"Superalternative",1
"Sehr gute Richtung",1
"Sehr gut!",1
"Sehr Sehr lecker!!!",1
"Super lecker",1
"Sehr lecker",1
"Gar nicht so schlecht",1
"Sehr lecker",1
"sehr lecker!",1
"Schmeckt gut",1
"Schmeckt prima",1
"Leckerer Wachmacher!",1
"zuwenig nussig",1
"Orientalische Köstlichkeit",1
"Ganz lecker",1
"Sehr lecker",1
"Im Eintopf",1
"richtig lecker!",1
"Die besten Würstchen nach Wienerle Art.",1
"Immer Wieder!",1
"Sehr lecker",1
"lecker",1
"Super",1
"Super Produkt",1
"Das Beste",1
"Super Produkt",1
"Sehr lecker",1
"Mhhhhh...",1
"Superlecker!",1
"Richtig gut",1
"Leggaaaaa :-)",1
"crunchy Genuss",1
"Guter Parmesan- Ersatz",1
"Super Parmesanersatz",1
"Kokosöl",1
"Sehr gut!",1
"Super!",1
"Super",1
"Einfach nur lecker!",1
"Sehr gut",1
"guter Geschmack",1
"Geniale Kombi",1
"schnell aufgegessen",1
"viel zu lecker :-)",1
"Lecker",1
"Sehr gut als Beilage",1
"Algenflocken",1
"Lecker",1
"Sehr lecker",1
"Bin sehr zufrieden!",1
"Bio Planète Kokosöl",1
"Universalmittel!:o)",1
"Sehr gut",1
"Lecker, ohne größere Stückchen",1
"Vielseitig und lecker",1
"Verwende ich als Gewürz",1
"Sehr lecker",1
"Schmeckt echt gut",1
"Sieht sehr lecker aus",1
"Einzigartig!",1
"Es ist wieder da!",1
"Super",1
"kleine Sünde",1
"sehr lecker ...",1
"Klasse",1
"Kleine Dosis, große Wirkung",1
"kein Vergleich zu anderenTeriyaki Sauce",1
"Überraschend gut",1
"Gute Alternative",1
"1A",1
"Sehr gut",1
"Ein sehr gutes Gewürz",1
"Schönes Grün und geschmacklich überzeugend",1
"Spirit of India",1
"Sehr lecker",1
"Lecker!",1
"Der Renner",1
"Sehr lecker",1
"Lecker, aber...",1
"Sehr gut",1
"echt super",1
"Eine gute Alternative :-)",1
"Mittagspause",1
"überzeugt als Snack",1
"Als glutenfreies Produkt in Ordnung",1
"sehr schokoladig",1
"Super lecker",1
"Schön schokoladig und nicht ganz so süß",1
"Top Qualität",1
"gesunder veganer Fruchtyokhurt",1
"Beste Sojamilch",1
"Kaffeemilch",1
"Würzig",1
"Perfekte Alternative",1
"Gut für Paleoernährung",1
"Endlich auch veganes Eis",1
"Gut, aber ungewohnt",1
"TOP-Qualität, geschmacksneutral und sehr gut zu verarbeiten",1
"gut",1
"Anders als erwartet",1
"cashewmuss",1
"Zur Mundpflege geeignet",1
"Diese Salatmayonnaise ist genial",1
"Hmmm, die leckerste!",1
"Sehr sehr lecker",1
"Provins der kleine Prinz",1
"wirklich gut und gut gewürzt",1
"Schmeckt echt gut und sehr Würzig",1
"Lecker",1
"super lecker",1
"angenehme Süße mit wenig Fett",1
"super lecker",1
"Lieber 1 großer Becher",1
"Sowas von lecker und cremig!",1
"Lecker mit Kakao und Banane!!",1
"Auch mit MHD Rabatt lecker",1
"Lecker!",1
"Leckerer Pflanzendrink",1
"Promavel Cashew Drink",1
"superlecker ohne Zucker",1
"unersetztlich",1
"Lecker",1
"Empfehelnswert",1
"Auch hier",1
"Ganz kleine Stückchen",1
"Gutes Produkt",1
"Keine Vergleichsmöglichkeit",1
"Günstiges Preis-Leistungsverhältnis und hohe Ergiebigkeit",1
"Guter Ausgleich",1
"Mhhmm, Himbeer",1
"lecker und cremig",1
"Bester Schokodrink überhaupt!",1
"Cremig",1
"Jeden Morgen...",1
"Sehr lecker",1
"Was für eine Geschmacksexplosion!",1
"Schmeckt gut",1
"Glutenfreie Version",1
"Algen fragen?",1
"sehr lecker :)",1
"Leckeres neutrales Pfannengericht",1
"eine milde sehr leckere Sojasoße",1
"Sehr lecker",1
"Trockenfrüchte",1
"Gute Datteln",1
"Ultralecker, hätte nie gedacht das Reismilch so lecker schmecken kann !!!",1
"Ich liebe es!",1
"Lieblings Pflanzendrink",1
"Lecker.",1
"Beste Salami",1
"Super!",1
"Empfehlenswert",1
"Muß man haben",1
"Superlecker!",1
"Was fürs Sandwich",1
"Köstlichste Wurst überhaupt!",1
"Überraschung...",1
"Suuuuper",1
"sehr lecker!",1
"Sehr leckeres Seitan in leckerer Soße",1
"LLLecker",1
"Lecker mit Mais",1
"Ratzfatz weg",1
"Vielseitig einsetzbar",1
"Gelungen!",1
"Sehr lecker",1
"Gute Qualität zum vertretbaren Preis",1
"Weiterempfehlung",1
"super für Nudelsalatdressing und Mousseau Chocolat",1
"leichter Geschmack nach Meer",1
"nicht nur gesund, sondern auch besonders lecker",1
"sehr guter tofu",1
"Leckere Alternative",1
"Sehr lecker",1
"bin begeistert",1
"Super lecker!",1
"dezenter Räuchergeschmack",1
"Praktisch und lecker.",1
"Endlich auch kleine Yohkurtbecher",1
"Total leckeres Müsli",1
"Bewertung",1
"Perfekt für Smoothie",1
"Lecker",1
"Gute Zuckeralternative",1
"Lecker",1
"sehr lecker",1
"verpackung",1
"Bestes Kokosöl überhaupt",1
"Kaufempfehlung",1
"Mein absoluter Favorit",1
"Lecker",1
"ohhhh",1
"Kinderlieblingstee",1
"Gelungen",1
"Muss man mögen",1
"sehr gut",1
"Lecker...",1
"Leggaaaaa :-)",1
"perfektes Fingerfood!",1
"war überfessen",1
"TOP :-)",1
"Köstlich",1
"Viele Serviermöglichkeiten",1
"Lecker",1
"Super lecker!",1
"Super leckere Zitronenkekse",1
"Leggaaaaa :-)",1
"Sehr praktisch",1
"Lecker und gesund",1
"Lecker",1
"Fast perfekt",1
"gut nachgemacht - aber wie?",1
"Gute Inhaltsstoffe, leckerer Geschmack!",1
"einfach nur lecker",1
"Für die Pfanne",1
"nur für die Pfanne",1
"Beste Bratwürstchen von Geschmack und Konsistenz her.",1
"Lecker",1
"Mild-herzhafter Geschmack und tolle Soja-Alternative",1
"lecker knusprig",1
"Super lecker",1
"Sehr lecker !",1
"erinnert an nicht-vegane Zeiten",1
"Super Produkt",1
"Endlich!",1
"Knüller!!!",1
"Sehr sehr lecker",1
"Der etwas andere Käsekuchen",1
"Pizza gelungen",1
"mmmmmmm. .........Dinkelmüsli",1
"lecker",1
"Mega Lecker",1
"Toller Käsekuchen für Veganer",1
"Tolles glutenfreies Brot",1
"Gute Alternative",1
"Überzeugend",1
"Gemüsebrühe",1
"Bunt ohne Reue!",1
"Sehr vielseitig zu verwenden",1
"1A Schokolade!",1
"Lecker!",1
"Leckere Basic-Schokolade",1
"trinke ich sehr gerne um den Magen zu beruhigen",1
"Tolle Qualität",1
"LEGGAAAAA  :-)",1
"Schmeckt echt gut",1
"wertet jedes Müsli auf",1
"Sehr lecker",1
"Wunderbar",1
"Schmecken gut",1
"Sehr zufrieden",1
"Schmeckt echt gut",1
"Gelungen!",1
"Würzig und cremig",1
"Volle Punktzahl!",1
"Super!",1
"Top",1
"Empfehlenswert",1
"super lecker",1
"Chrunchy",1
"die besten Nusmuse von GranoVita",1
"Äußerst schmackhaft",1
"mir schmecken sie",1
"Das erste Mal...",1
"sehr lecker",1
"Lecker !",1
"Happy Cashew der gereifte Chakalaka",1
"Zitronig",1
"KAUF DIESE WURST !!!",1
"Frühstück",1
"Sehr gut",1
"Richtig gut!",1
"Sehr gute Ware",1
"WIE FLEISCH LEUTE !!!",1
"Endlich mal was Leckeres!",1
"Überrascht sehr positiv",1
"Sehr gut",1
"Sehr lecker",1
"DER ABSOLUTE HAMMER",1
"Lecker",1
"Sehr lecker, vegan und glutenfrei",1
"Dicke Scheiben",1
"Sehr lecker",1
"Sehr angenehm",1
"Lecker",1
"Die beste vegane Vurst nach Lyoner Art",1
"lecker",1
"Sehr süß, aber gut",1
"ist total lecker",1
"Alles supergut geklappt",1
"Sehr gut schmeckender Glühwein, tolles Gewürzaroma und super Qualität die man schmeckt",1
"Süffig",1
"sehr gut",1
"sehr lecker",1
"Deftig",1
"superlecker",1
"Sehr lecker!!!",1
"Mein Lieblingsespresso",1
"Für mich der perfekte Espresso",1
"Sehr leckerer Getreidekaffee",1
"Schöner Pfeffer!",1
"Pepp für Pasta!",1
"Schmeckt gut",1
"Lima Reisdrink Haselnuss Mandel",1
"Total lecker!!",1
"Sehr gut",1
"super lecker",1
"lecker herb und fruchtig",1
"Schnell",1
"Natmi-Hirse-Drink",1
"Hirse Drink",1
"Tipp: Super Käseersatz",1
"Überraschung.",1
"Feta-ähnlich",1
"Käse",1
"feto finde ich etwas besser",1
"Schmeckt doch ganz schön authentisch",1
"super!",1
"Lecker!",1
"positiv überrascht!",1
"Hammer",1
"Würzig.",1
"Intensiv gewürzt",1
"Soooo lecker",1
"Super lecker!",1
"Wie normal Vollmilchschokolade",1
"liebste mandelschokolade",1
"Man schmeckt den Unterschied",1
"Lecker für BBQ",1
"Unglaublich lecker!",1
"lecker",1
"Mein Allday",1
"Leggaaaaa :-)",1
"Lecker für unterwegs",1
"Lecker Schokoladig",1
"Sehr fein",1
"Oatly Haferdrink plus Calcium",1
"Lecker",1
"Leckere Alternative!",1
"Absolut lecker",1
"Sehr lecker",1
"Lecker!",1
"für mich DIE Alternative",1
"Einfach lecker 😋",1
"Mein Favorit!",1
